Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
32672269,1602 (A Coleção Oficial de Graphic Novels Marvel #28),Neil Gaiman,"Gaiman, Neil",Andy Kubert,"=""""","=""9788447128211""",5,3.94,Salvat,Hardcover,,2016,2003,2017/02/02,2017/01/27,,,read,,,,1,,,0,,,,,
20493914,"Equal Rites (Discworld, #3)",Terry Pratchett,"Pratchett, Terry",,"=""1473200202""","=""9781473200203""",5,4.01,Gollancz,Hardcover,256,2014,1987,2017/01/30,2017/01/23,,,read,,,,1,,,0,,,,,
25855506,"Adulthood Is a Myth (Sarah's Scribbles, #1)",Sarah Andersen,"Andersen, Sarah",,"=""1449474195""","=""9781449474195""",3,4.12,Andrews McMeel Publishing,Paperback,112,2016,2016,2017/01/27,2017/01/24,,,read,,,,1,,,0,,,,,
21555974,Pride of Baghdad,Brian K. Vaughan,"Vaughan, Brian K.",Niko Henrichon,"=""1401248942""","=""9781401248949""",5,3.89,Vertigo,Hardcover,168,2014,2006,2017/01/24,2017/01/22,,,read,,,,1,,,0,,,,,
33023824,No Enxame - Reflexões Sobre o Digital,Byung-Chul Han,"Han, Byung-Chul",Miguel Serras Pereira,"=""""","=""9789896416553""",1,3.84,Relógio D'Água,Paperback,104,2016,2013,2017/01/22,2017/01/19,,,read,,,,1,,,0,,,,,
16034968,O Vendedor de Passados,José Eduardo Agualusa,"Agualusa, José Eduardo",,"=""""","=""9789722050739""",4,3.82,Publicações Dom Quixote,Paperback,384,2006,2004,2015/06/24,2015/06/21,,,read,,,,1,,,0,,,,,
22997383,Storm,Tim Minchin,"Minchin, Tim",,"=""""","=""""",5,4.36,Orion,Hardcover,112,2014,2014,2016/12/27,2016/12/27,,,read,"Para um livro que arrasa completamente várias coisas, incluindo pessoas que dizem prever o futuro, faz um excelente trabalho a prever uma situação que vai acontecer de certeza na minha vida, mais do que uma vez.",,,1,,,0,,,,,
9469560,Gabo: Memórias da Memória,Carlos Fuentes,"Fuentes, Carlos",Maria do Carmo Abreu,"=""9722024485""","=""""",3,3.00,Dom Quixote,Paperback,48,2003,2003,2016/12/17,2016/12/17,,,read,,,,1,,,0,,,,,
32504334,O entrelaçamento electroquântico de que são feitas as lendas (Comandante Serralves),Rui Bastos,"Bastos, Rui",,"=""""","=""9781370036851""",0,4.00,Imaginauta,ebook,,2016,,,2016/10/09,,,read,,,,1,,,0,,,,,
16080576,100 Coisas para Fazer (Depois de Morrer),Viton Araújo,"Araújo, Viton",Gustavo Nardini,"=""""","=""9789896920357""",3,3.44,ArtePlural Edições,Paperback,208,2012,2012,2016/12/12,2016/12/10,,,read,,,,1,,,0,,,,,
